iter	MultiClass
0	2.756741451
1	2.736637063
2	2.716806032
3	2.701729561
4	2.685077217
5	2.669676813
6	2.654632328
7	2.640379737
8	2.623904655
9	2.612459048
10	2.598257268
11	2.581182505
12	2.565116843
13	2.55109723
14	2.540116647
15	2.529596598
16	2.513778197
17	2.500718585
18	2.48892925
19	2.477373367
20	2.469644664
21	2.451798795
22	2.436653374
23	2.424975964
24	2.412060506
25	2.399032202
26	2.395255177
27	2.381688683
28	2.367549563
29	2.358982941
30	2.358515644
31	2.349055657
32	2.338237575
33	2.32625769
34	2.312194997
35	2.296325771
36	2.281199461
37	2.267494843
38	2.250809118
39	2.234780028
40	2.220660968
41	2.209087433
42	2.198670443
43	2.190483022
44	2.17593345
45	2.163795859
46	2.154316022
47	2.141215876
48	2.128180488
49	2.116495894
50	2.103750664
51	2.101199251
52	2.099802666
53	2.090125866
54	2.081618715
55	2.072421727
56	2.061503527
57	2.050541505
58	2.04353956
59	2.030030301
60	2.020577382
61	2.010903085
62	2.000009056
63	1.986226491
64	1.977666923
65	1.965716635
66	1.95543234
67	1.9405727
68	1.930827011
69	1.921867915
70	1.911737636
71	1.897865825
72	1.884696902
73	1.870421906
74	1.858351452
75	1.847252417
76	1.838301705
77	1.827594765
78	1.81505331
79	1.80356654
80	1.790654987
81	1.7802246
82	1.770197125
83	1.761790186
84	1.752729613
85	1.739573746
86	1.727681057
87	1.716451383
88	1.707206011
89	1.699630945
90	1.690080671
91	1.68226885
92	1.672825308
93	1.66315074
94	1.655467529
95	1.645716966
96	1.635911521
97	1.626033221
98	1.614262048
99	1.604579071
100	1.594321176
101	1.584461455
102	1.575185443
103	1.564840276
104	1.553976657
105	1.543752767
106	1.537873172
107	1.526687543
108	1.519903433
109	1.511608234
110	1.50364939
111	1.494922784
112	1.484687136
113	1.474833263
114	1.466104086
115	1.457640254
116	1.4464328
117	1.438765721
118	1.427841183
119	1.421542704
120	1.413828895
121	1.403919396
122	1.395780068
123	1.386285881
124	1.376591967
125	1.368887108
126	1.359919074
127	1.35288442
128	1.342863289
129	1.333995564
130	1.32951146
131	1.323530786
132	1.316863249
133	1.310610161
