iter	Passed	Remaining
0	321	321125
1	500	249962
2	703	233955
3	955	237865
4	1091	217147
5	1201	199098
6	1321	187498
7	1420	176202
8	1532	168728
9	1630	161459
10	1728	155451
11	1865	153590
12	2014	152966
13	2162	152329
14	2283	149956
15	2393	147169
16	2511	145238
17	2615	142689
18	2729	140941
19	2830	138695
20	2939	137057
21	3060	136061
22	3189	135485
23	3303	134335
24	3412	133097
25	3561	133426
26	3710	133704
27	3833	133085
28	3955	132442
29	4082	131993
30	4190	130974
31	4299	130068
32	4408	129183
33	4518	128388
34	4617	127318
35	4719	126364
36	4829	125688
37	4934	124928
38	5059	124664
39	5191	124604
40	5334	124767
41	5444	124179
42	5574	124058
43	5679	123389
44	5789	122876
45	5923	122855
46	6038	122446
47	6145	121892
48	6259	121490
49	6355	120746
50	6462	120244
51	6582	120011
52	6705	119821
53	6810	119315
54	6917	118861
55	7013	118224
56	7116	117737
57	7225	117351
58	7331	116932
59	7432	116442
60	7531	115938
61	7625	115371
62	7739	115106
63	7850	114817
64	7952	114388
65	8060	114068
66	8157	113598
67	8251	113096
68	8353	112714
69	8442	112166
70	8543	111783
71	8630	111237
72	8721	110750
73	8811	110264
74	8905	109833
75	9012	109567
76	9124	109374
77	9218	108964
78	9332	108804
79	9466	108869
80	9572	108610
81	9668	108236
82	9783	108092
83	9892	107870
84	10015	107817
85	10143	107800
86	10328	108390
87	10461	108422
88	10609	108596
89	10730	108497
90	10864	108522
91	10995	108521
92	11169	108935
93	11328	109189
94	11453	109105
95	11622	109442
96	11764	109519
97	11906	109585
98	12077	109921
99	12237	110140
100	12378	110177
101	12509	110135
102	12690	110519
103	12819	110445
104	12953	110415
105	13091	110410
106	13238	110484
107	13365	110387
108	13482	110206
109	13604	110073
110	13752	110140
111	13897	110185
112	14008	109957
113	14135	109857
114	14253	109687
115	14371	109522
116	14487	109340
117	14621	109288
118	14741	109135
119	14888	109180
120	15122	109859
121	15365	110584
122	15542	110815
123	15732	111145
124	15915	111407
125	16132	111901
126	16295	112014
127	16431	111938
128	16541	111686
129	16648	111420
130	16755	111150
131	16856	110845
132	16951	110500
133	17045	110161
134	17158	109940
135	17257	109634
136	17404	109634
137	17514	109405
138	17630	109204
139	17718	108839
140	17866	108845
141	17994	108725
142	18299	109671
143	18491	109922
